ne_id,division
A2844-4A51-01,中正區
A2587-4A22-51,松山區
A3560-4A51-01,南港區
A3559-4A51-01,南港區
A3621-4A51-01,南港區
A1962-4A21-51,內湖區
A4970-4A22-51,內湖區
A2660-4A21-01,萬華區
A3932-4A51-01,北投區
A3068-4A51-01,內湖區
A0124-4A51-01,松山區
A4039-4A22-51,內湖區
A4081-4A22-51,中山區
A2643-4A21-01,中正區
A4249-4A22-01,松山區
A4304-4A22-51,信義區
A4963-4A21-51,北投區
A4965-4A51-01,大同區
A3960-4A51-01,松山區
A2765-4A21-01,松山區
A4420-4A51-01,士林區
A3196-4A21-51,中山區
A3032-4A51-01,文山區
A2559-4A22-51,南港區
A0890-4A51-01,士林區
A2909-4A21-01,內湖區
A3464-4A21-01,信義區
A3428-4A21-01,大安區
A1765-4A21-01,大安區
A3587-4A51-01,大安區
A0666-4A22-51,萬華區
A1756-4A21-01,文山區
A1727-4A21-01,文山區
A2990-4A22-01,松山區
A2715-4A51-01,士林區
A4042-4A22-01,大同區
A4871-4A51-01,萬華區
A4909-4A21-51,大安區
A4448-4A51-01,北投區
A2778-4A51-01,士林區
A2580-4A22-51,內湖區
A4674-4A21-51,南港區
A1974-4A21-51,內湖區
A4161-4A22-01,大安區
A4678-4A51-01,文山區
A4077-4A22-01,文山區
A3291-4A21-01,中正區
A2329-4A21-51,內湖區
A4692-4A21-51,中正區
A1896-4A21-53,內湖區
A1331-4A22-51,松山區
A4361-4A51-01,中山區
A2084-4A22-01,文山區
A2125-4A21-51,士林區
A2465-4A21-01,中山區
A2155-4A21-51,中正區
A2136-4A21-51,中正區
A4448-4A22-01,北投區
A0202-4A21-52,中正區
A1747-4A21-01,文山區
A1735-4A21-01,文山區
A3456-4A21-01,松山區
A2799-4A21-01,中正區
A4275-4A51-01,文山區
A0601-4A21-53,內湖區
A2727-4A21-51,松山區
A2592-4A22-51,中正區
A4160-4A51-51,內湖區
A0636-4A22-51,大安區
A4685-4A51-01,北投區
A4877-4A51-01,士林區
A5347-4A51-01,大安區
A4341-4A51-01,士林區
A4889-4A51-01,士林區
A4266-4A51-01,信義區
A1942-4A22-51,中山區
A4233-4A22-01,中山區
A1083-4A21-52,內湖區
A3807-4A21-51,中正區
A1919-4A51-02,大安區
A5094-4A51-01,中正區
A4351-4A22-01,大安區
A1906-4A21-51,大安區
A2836-4A51-01,士林區
A5456-4A51-01,士林區
A4360-4A51-01,中山區
A3688-4A21-01,萬華區
A4762-4A51-01,萬華區
A3221-4A22-51,南港區
A4495-4A51-01,南港區
A2037-4A21-01,文山區
A1749-4A21-01,文山區
A0693-4A51-01,大安區
A1513-4A21-01,文山區
A2977-4A21-01,文山區
A3352-4A21-01,士林區
A3864-4A51-01,南港區
A1440-4A22-51,中山區
A3686-4A21-01,士林區
NNH-4A21-74,內湖區
NNH-4A21-75,內湖區
A0480-4A21-53,內湖區
A1896-4A21-52,內湖區
A3874-4A21-51,信義區
A4068-4A22-01,大安區
A3706-4A51-01,大安區
A2475-4A21-01,中山區
A4749-4A22-51,信義區
A5459-4A22-51,中山區
A5246-4A51-01,內湖區
A3651-4A51-02,大安區
A0111-4A51-03,大安區
A2828-4A21-01,中山區
A4878-4A22-51,內湖區
A4161-4A51-01,大安區
A3808-4A21-51,中正區
A4265-4A51-01,南港區
A2500-4A51-01,中山區
A1399-4A22-51,大同區
A4812-4A51-01,南港區
A0312-4A22-51,內湖區
A4014-4A22-01,內湖區
A3989-4A22-51,內湖區
A0929-4A21-51,信義區
A0381-4A22-51,信義區
A1728-4A22-51,松山區
A2084-4A51-01,文山區
A1750-4A21-01,文山區
A5262-4A51-01,大同區
A3985-4A22-51,中山區
A3313-4A21-51,信義區
A2466-4A21-01,中山區
A3571-4A51-01,內湖區
A4153-4A22-01,中正區
A0601-4A21-51,內湖區
A4003-4A21-51,南港區
A0889-4A51-01,士林區
A4844-4A22-51,大安區
A2280-4A22-01,大安區
A2323-4A51-01,松山區
A1884-4A51-01,大安區
A5396-4A53-01,士林區
